chunk_id,speech_id,leader,language,speech_date,speech_type,source,chunk_index,n_chunks_in_speech,relative_position,chunk_text,token_count,word_count,paragraph_indices,is_short
erdogan2024_c012,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,12,16,0.8,"Her ikisi de Karadeniz’den komşumuz olan Rusya-Ukrayna arasındaki savaşın, adil bir barışla sona erdirilmesi önceliğimiz olmayı sürdürüyor.

Temennimiz, 2025 yılında kuzeyimizde de yeni bir dönemin başlamasıdır.

Sınırlarımız ötesinde bütün bu diplomatik hamleleri hayata geçirirken, ülkemiz içinde en önemli gündemimiz “iç cephemizin” tahkimatı olacaktır.",118,43,28;29;30,False
erdogan2024_c013,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,13,16,0.867,"Türkiye Yüzyılını, kardeşliğin yüzyılı yapmakta kararlıyız.

Önümüzdeki dönemde “TERÖRSÜZ TÜRKİYE” ve “TERÖRSÜZ BÖLGE” vizyonumuzu gerçeğe dönüştürmek için kararlı adımlar atacağız.

Ülkemizin önünde yeni bir yol açacak bu sürecin suhuletle, karşılıklı iyi niyet ve anlayış içinde yürümesi için her türlü gayreti gösteriyoruz.",117,41,31;32;33,False
erdogan2024_c014,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,14,16,0.933,"Ama gerektiğinde, devletimizin kadife eldiven içindeki demir yumruğunu devreye almaktan da çekinmeyeceğiz.

Bu çerçevede 2025 yılında milletimize inşallah yeni müjdeler vermeyi ümit ve arzu ediyoruz.

Rabbim yar ve yardımcımız olsun.",82,30,34;35;36,False
erdogan2024_c015,erdogan2024,erdogan,tr,2024-12-31,new_year_message,,15,16,1.0,"Rabbim bizleri hizmetkarı olmaktan şeref duyduğumuz aziz milletimize ve umudunu Türkiye’ye bağlamış yüz milyonlarca mazluma mahcup etmesin diyorum.

Bu temennilerle yeni takvim yılının ülkemiz, milletimiz ve tüm insanlık için hayırlar getirmesini diliyor, her birinizi saygıyla selamlıyorum.

Yeni miladi yılınız kutlu olsun.

Kalın sağlıcakla…",114,43,37;38;39;40,False
erdogan2025_c000,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,0,19,0.0,"Aziz Milletim;

Sizleri en kalbî duygularımla, muhabbetle, hürmetle selamlıyorum.

Bugün, 2025’le vedalaşıyor; yepyeni bir heyecanla, yeni ümit ve hedeflerle 2026’ya “merhaba” demeye hazırlanıyoruz.",82,23,0;1;2,False
erdogan2025_c001,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,1,19,0.056,"Yeni takvim yılının ülkemiz, milletimiz, gönül coğrafyamız ve tüm insanlık için hayırlara vesile olmasını diliyorum.

Gerek terör örgütleri, zehir tacirleri ve şehir eşkıyalarıyla mücadelemizde, gerekse devletimizin güvenliği ve bekasını temin uğrunda şehit düşen tüm kahramanlarımızı rahmetle yad ediyorum.",101,38,3;4,False
erdogan2025_c002,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,2,19,0.111,"86 milyonun huzur ve esenliği için büyük bedeller ödeyen gazilerimizin her birine, şahsım ve milletim adına şükranlarımı sunuyorum.

Geride bıraktığımız sene, hem ülkemizde, hem de dünyada önemli gelişmeler yaşandı.

Bölgemizde etkisi artan savaş, kriz ve gerilim ortamına rağmen, emin ve ehil kadroların yönetiminde Türkiye, kutlu yolculuğunu güvenle sürdürüyor.",121,48,5;6;7,False
erdogan2025_c003,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,3,19,0.167,"Kararlılıkla uyguladığımız ekonomi programının olumlu sonuçlarına geniş bir yelpazede şahitlik ediyoruz.

Dez-enflasyon süreci devam ederken, Merkez Bankamızın rezervleri güçleniyor; üretim, yatırım, istihdam ve ihracatta vites yükseltiyoruz.",81,26,8;9,False
erdogan2025_c004,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,4,19,0.222,"Turizmden savunma sanayiine birçok alanda rekordan rekora koşuyoruz.

İlk kuraları 2 gün önce çekilen “500 Bin Sosyal Konut Projemizin” dar gelirli vatandaşlarımızı çok uygun şartlarda ev sahibi yapma yanında, konut ve kira fiyatlarındaki köpüğün inmesine de katkı vereceğine inanıyoruz.",94,39,10;11,False
erdogan2025_c005,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,5,19,0.278,"Ekonomide elde ettiğimiz kazanımları bu sene reformlarla taçlandırmak niyetindeyiz.

Büyük Kongremizde açıkladığımız Türkiye Yüzyılı Reform Programımızı, Meclisimizin de desteğiyle inşallah adım adım hayata geçireceğiz.

Kıymetli Vatandaşlarım;
2025 yılı boyunca hükümetimizin birinci önceliği, 6 Şubat Asrın Felaketinin yaralarının sarılması oldu.",121,39,12;13;14,False
erdogan2025_c006,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,6,19,0.333,"Kaybettiğimiz canları geri getiremesek de; altyapısıyla, meydanlarıyla, yeşil alanları, sosyal donatılarıyla, tarihi ve kültürel dokusuyla şehirlerimizi yeniden ayağa kaldırmayı başardık.

Söz verdiğimiz üzere, 27 Aralık’ta Hatay’da, 100 bini aşkın kardeşimizin katılımıyla, 455 bininci deprem konutumuzun anahtarını hak sahiplerine büyük bir gururla takdim ettik.",133,43,15;16,False
erdogan2025_c007,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,7,19,0.389,"Yeni ev ve iş yerleri, depremzedelerimize hayırlı-uğurlu olsun, diyorum.

6 Şubat’tan bu yana kışın soğuğuna, yazın sıcağına aldırmadan 7 gün 24 saat esasıyla şantiyelerde çalışan tüm kardeşlerime, konutların inşasında emeği geçen tüm kurumlarımıza ve hayırseverlerimize teşekkür ediyorum.",101,37,17;18,False
erdogan2025_c008,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,8,19,0.444,"İnşa çalışmalarına omuz vermek yerine yapılan her işi kötüleyenleri ise devletimizin neleri başardığını bizzat yerinde görebilmeleri için Hatay’a ve diğer afetzede şehirlerimize davet ediyorum.

İktidar ve İttifak olarak bundan sonra da verdiğimiz sözleri tutacak, inşallah hiçbir zaman milletimize mahcup olmayacağız.",94,40,19;20,False
erdogan2025_c009,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,9,19,0.5,"Sadece kendi insanımızı değil, yüzü ülkemize dönük hiçbir kardeşimizi yalnız bırakmayacağız.

Hakkı, adaleti ve vicdanı merkeze alan siyasetimizin yansımaları, Suriye ve Gazze başta olmak üzere, bölgemizin her yanında görülmektedir.

8 Aralık Devrimi’yle hürriyetine kavuşan komşumuz Suriye’de toparlanma hızlanmış, siyasi istikrar yolunda kısa sürede önemli mesafe alınmıştır.",123,46,21;22;23,False
erdogan2025_c010,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,10,19,0.556,"Suriye’de huzur ortamı kökleştikçe, gönüllü geri dönüşler de artmış, son bir yılda 600 bin Suriyeli misafirimiz vatanlarına geri dönmüştür.

Siyasi birliğini ve toprak bütünlüğünü sağlamış güçlü bir Suriye, inanıyoruz ki, hem çevresine hem de dünyaya müstesna katkılar yapacaktır.",102,38,24;25,False
erdogan2025_c011,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,11,19,0.611,"Türkiye olarak; Arap, Kürt, Türkmen, Sünni, Şii, Nusayri demeden, Suriye halkının huzur ve güvenliği için yeni yönetime gereken desteği vereceğiz.

Gazze’de, bizim de katkımızla sağlanan ateşkes, İsrail’in tüm ihlallerine rağmen, Gazzeli kardeşlerimizin sağduyusu sayesinde halen sürmektedir.",99,36,26;27,False
erdogan2025_c012,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,12,19,0.667,"İsrail’in saldırılarının durması, Gazze’ye insani yardım girişinin hızlanması ve yeniden inşa çalışmalarının başlayabilmesi için yoğun çaba içindeyiz.

Çoğu çocuk ve kadın 71 bin kardeşimizi şehit edenler adalete hesap verene kadar sinmeyecek, susmayacak, soykırımı asla unutturmayacağız.",85,35,28;29,False
erdogan2025_c013,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,13,19,0.722,"5’inci yılına girecek Rusya-Ukrayna Savaşı’nın bir an evvel adil ve kalıcı bir barışla noktalanması için de girişimlerimizi sürdürüyoruz.

Doğu Akdeniz’de, ülkemizin ve Kıbrıs Türk halkının çıkarlarına yönelik artan tahrikleri ve tehditleri yakından takip ediyoruz.",87,34,30;31,False
erdogan2025_c014,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,14,19,0.778,"Mavi Vatan’da ne emrivakiye, ne yankesiciliğe, ne de korsanlığa asla göz yummayacağımızın altını bugün bir kere daha çizmek istiyorum.

Aziz Milletim;
Yalnızca ülkemizin değil, bölgemizin de önünde yepyeni bir sayfa açacak Terörsüz Türkiye sürecinde bazı önemli eşikleri geride bıraktık.",95,39,32;33,False
erdogan2025_c015,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,15,19,0.833,"Cumhur İttifakı olarak, bu süreçte her zaman yapıcı davrandık, çözüme konsantre olduk, elimizle birlikte tüm gövdemizi taşın altına koyduk.

İlgili tarafları dikkatle dinleyen Millî Dayanışma, Kardeşlik ve Demokrasi Komisyonumuz, sürece yeni bir soluk kazanacağını düşündüğümüz nihai raporunu inşallah yakında tekemmül ettirecek.",115,41,34;35,False
erdogan2025_c016,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,16,19,0.889,"Komisyonun, son düzlükte de uzlaşı ruhuyla hareket etmesi arzumuzdur.

Ülkemizi, 40 yıllık bir musibetten kurtarmayı hedefleyen bu süreç, gündelik siyasetin çıkar hesaplarına kurban edilmemelidir.

Biz de sürecin, bir yol kazası yaşanmadan menzil-i maksuduna varması için üzerimize ne düşüyorsa, yapmaktan geri durmayacağız.",111,41,36;37;38,False
erdogan2025_c017,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,17,19,0.944,"23 senedir olduğu gibi, kalbimizde sadece millet ve memleket sevdasıyla 86 milyonun tamamına hizmet edecek, tüm Türkiye’nin refahı, huzuru ve esenliği için fedakârca çalışmayı sürdüreceğiz.

2026 yılında da laf yerine iş üretecek, polemik yerine icraat yapacak; eserlerimizle, yatırımlarımızla konuşmaya devam edeceğiz.",122,41,39;40,False
erdogan2025_c018,erdogan2025,erdogan,tr,2025-12-31,new_year_message,,18,19,1.0,"Rabbim yar ve yardımcımız olsun, diyorum.

Türkiye Yüzyılı ülkümüze destek olan herkese teşekkür ediyorum.

Bu düşüncelerle yeni miladi yılınızı tebrik ediyor; 2026’nın ülkemiz, milletimiz, bölgemiz ve tüm insanlık için hayırlara vesile olmasını diliyorum.

Sizleri bir kez daha sevgiyle, saygıyla selamlıyorum. Kalın sağlıcakla…",111,42,41;42;43;44,False
macron2022_c000,macron2022,macron,fr,2022-12-31,new_year_address,,0,35,0.0,"Mes chers compatriotes,

Pour la sixième fois, j’ai le privilège de partager avec vous ce moment des vœux.

Avec vous, officiers et soldats dans notre armée, qui nous protégez, avec vous, policiers, gendarmes, pompiers, forces de sécurité, sauveteurs en mer, qui veillez sur cette soirée. Avec vous, médecins, soignants, patients. Avec vous, agents publics qui assurez la continuité de nos services. Avec vous, citoyens engagés professionnellement ou dans nos associations. Avec vous, nos compatriotes d’outre-mer. Avec vous tous qui êtes en famille en France ou à l’étranger, et plus particulièrement avec vous dont la vie a fait que vous vous sentez seuls ce soir. Vous qui êtes dans l’épreuve, et vers qui vont nos pensées.",198,115,0;1;2,False
macron2022_c001,macron2022,macron,fr,2022-12-31,new_year_address,,1,35,0.029,"Les cérémonies de vœux ont ceci de singulier : elles obligent à parler d’un futur qu’en vérité, on ne connaît pas, dont nous savons pourtant avec certitude que nous devrons l’affronter, avec nos forces et nos faiblesses, mais en pays uni.

Dans les responsabilités qui sont les miennes, je ne perds jamais de vue cet impératif d’unité de la nation que nous formons tous ensemble.",107,65,3;4,False
macron2022_c002,macron2022,macron,fr,2022-12-31,new_year_address,,2,35,0.059,"Si nous cédions à l’esprit de division qui nous presse de toute part, nous n’aurions à peu près aucune chance de nous en sortir, dans un monde si rude, dans des temps si durs. Alors je nous souhaite donc de vivre 2023, autant que possible, en pays uni et solidaire, reconnaissants la place de chacun et respectueux de tous.",94,59,5,False
macron2022_c003,macron2022,macron,fr,2022-12-31,new_year_address,,3,35,0.088,"Je repense aux vœux que je vous présentais à la même heure, il y a un an. Qui aurait imaginé à cet instant, que, pensant sortir avec beaucoup de difficultés d’une épidémie planétaire, nous aurions à affronter en quelques semaines, d’inimaginables défis : la guerre revenue sur le sol européen après l’agression russe jetant son dévolu sur l’Ukraine et sa démocratie ; des dizaines, peut-être des centaines de milliers de morts, des millions de réfugiés, une effroyable crise énergétique, une crise alimentaire menaçante, l’invocation des pires menaces, y compris nucléaires ?",164,91,6,False
macron2022_c004,macron2022,macron,fr,2022-12-31,new_year_address,,4,35,0.118,"Qui aurait pu prédire la vague d’inflation, ainsi déclenchée ? Ou la crise climatique aux effets spectaculaires encore cet été dans notre pays ?

Pourtant, au fil de ces saisons de dangers, ce qui est demeuré constant, une fois encore cette année, est notre capacité collective à relever ensemble ces défis.

Oui, durant cette année, la France a porté avec l’Europe la voix du droit et de la liberté pour soutenir l’Ukraine ; des milliers d’entre vous ont fait œuvre de solidarité en accueillant, dans nos villes et nos villages, des réfugiés fuyant l’invasion russe.",157,95,6;7;8,False
macron2022_c005,macron2022,macron,fr,2022-12-31,new_year_address,,5,35,0.147,"La solidarité nationale, financée par les contribuables français, a permis d’atténuer la hausse des prix de l’énergie pour chacun, de sauvegarder nos entreprises, de protéger particulièrement les revenus des plus modestes d’entre nous. Et grâce à notre action collective, nous avons soutenu la croissance, contenu l’inflation à des niveaux inférieurs à ceux que connaissent nos voisins, et porté le chômage à son plus bas depuis quinze ans. Nous avons en effet cette année continué de créer des emplois, et des emplois de qualité.",138,83,9,False
macron2022_c006,macron2022,macron,fr,2022-12-31,new_year_address,,6,35,0.176,"A chaque épreuve, l’Europe nous a permis d’agir plus vite et plus fort. Pour créer un bloc de résistance unie face à la Russie, pour réinvestir dans nos industries ; et surtout pour trouver à la dimension du continent les réponses aux défis du siècle.

Ainsi, pendant les six premiers mois de cette année, alors que la France présidait le Conseil de l’Union européenne, nous avons pris les décisions pour réduire de plus de moitié nos émissions de gaz à effet de serre d’ici 2030, nous avons acté une taxe carbone à nos frontières pour protéger nos industries et notre planète, nous avons ensemble décidé de créer un impôt minimal sur les grandes multinationales pour lutter contre l’évasion fiscale, et nous avons ensemble commencé à mieux encadrer les grandes plateformes du numérique.",197,132,10,False
macron2022_c007,macron2022,macron,fr,2022-12-31,new_year_address,,7,35,0.206,"Et malgré toutes ces crises, tous ces défis, 2022 fut aussi, pour nous tous, une année démocratique intense au cours de laquelle vous avez renouvelé notre Assemblée nationale et où vous avez, lors de l’élection présidentielle de ce printemps, décidé de me confier un nouveau mandat de cinq ans à la tête de notre nation, ce qui m’honore et m’oblige.",98,60,11,False
macron2022_c008,macron2022,macron,fr,2022-12-31,new_year_address,,8,35,0.235,"2022 fut aussi une fois encore une année de rayonnement artistique, culturel, sportif de notre pays, avec deux Prix Nobel, et tant de grands moments de création et de sport. De tout cela, de tout ce que nous avons ensemble accomplis durant l’année qui s’achève, soyons fiers.

Il nous faut nous munir de cette fierté et de cette confiance pour aborder l’année qui vient. Car je crois que cette année 2023 est d’abord celle de questions que je sais inquiétantes, et de crises une fois encore à affronter.",135,88,12;13,False
macron2022_c009,macron2022,macron,fr,2022-12-31,new_year_address,,9,35,0.265,"Aura-t-on des coupures d’électricité ? Si nous continuons à économiser l’énergie, comme nous le faisons depuis quelques mois, et comme je vous l’annonçais dès le 14 juillet dernier, et que nous continuons de remettre en service nos réacteurs nucléaires comme prévu, nous y arriverons. C’est entre nos mains.",82,48,14,False
macron2022_c010,macron2022,macron,fr,2022-12-31,new_year_address,,10,35,0.294,"Aura-t-on des augmentations du prix de l’énergie ? Là aussi, nous avons mis des réponses concrètes en place. Je le dis à chacun d’entre vous car alors que les prix de l’énergie ont atteint des niveaux historiques, la hausse restera plafonnée dans notre pays. Je le dis en particulier à nos artisans, nos boulangers, mais aussi à nos entreprises les plus industrielles. Dès demain, vous aurez des aides adaptées, en plus du bouclier tarifaire déjà mis en place, de telle sorte que la pérennité de votre activité, de nos emplois et de notre compétitivité puisse être assurée.",157,97,15,False
macron2022_c011,macron2022,macron,fr,2022-12-31,new_year_address,,11,35,0.324,"Et, à chaque fois qu’il le faudra, le gouvernement adaptera ses réponses comme il l’a fait à chaque instant. Surtout, nous accélérerons les solutions pour sortir de nos dépendances et avoir un prix de l’électricité qui correspond à son coût de production.",65,42,15,True
macron2022_c012,macron2022,macron,fr,2022-12-31,new_year_address,,12,35,0.353,"Allons-nous à nouveau subir une vague de Covid, et l’épidémie aura-t-elle une fin ? Là aussi nous pourrons faire face. D’abord, grâce à l’usage raisonnable et adapté des gestes barrières contre le virus, que nous avons appris. Ensuite, grâce à la vaccination qui a montré son efficacité ; et j’incite ce soir tous nos compatriotes de plus de 70 ans en particulier à faire leur rappel ou à se faire vacciner, si ce n’est pas déjà fait. Enfin, en testant, en séquençant, en établissant les contrôles aux frontières.",148,88,16,False
macron2022_c013,macron2022,macron,fr,2022-12-31,new_year_address,,13,35,0.382,"C’est ce que le Gouvernement a décidé de faire, dans nos aéroports, dès demain, pour les avions arrivant de Chine, où l’épidémie bat son plein et où nombres de restrictions ont été relâchés.

Devra-t-on travailler plus longtemps en 2023 ? Là aussi, comme je m’y suis engagé devant vous, cette année sera en effet celle d’une réforme des retraites qui vise à assurer l’équilibre de notre système pour les années et décennies à venir. Il nous faut travailler davantage, c’est le sens même de la réforme de l’assurance chômage qui a été portée par le Gouvernement et votée par le Parlement. C’est aussi le sens de cette réforme sur lequel les partenaires sociaux et le",184,115,17;18,False
macron2022_c014,macron2022,macron,fr,2022-12-31,new_year_address,,14,35,0.412,"gouvernement, vont travailler dans les mois qui viennent pour finir de mettre en place les nouvelles règles qui s’appliqueront dès la fin de l’été 2023. L’objectif est de consolider nos régimes de retraite par répartition, qui, sans cela, serait menacé, car nous continuons de financer à crédit. Pour ce faire, l’allongement de nos carrières de travail sera progressif, il se fera par étapes sur près de dix ans. Il sera aussi juste, en tenant compte des carrières longues, des carrières hachées, de la difficulté de certaines tâches, de certains métiers.",154,90,19,False
macron2022_c015,macron2022,macron,fr,2022-12-31,new_year_address,,15,35,0.441,"Mais c’est cela qui nous permettra d’équilibrer le financement de notre retraite, dans notre pays, et c’est une chance, où l’on vit plus longtemps, d’améliorer la retraite minimale pour toutes celles et ceux qui ont travaillé pour avoir leurs trimestres, et de transmettre à nos enfants un modèle social juste et solide, parce qu’il sera crédible et financé dans la durée.",95,61,19,False
macron2022_c016,macron2022,macron,fr,2022-12-31,new_year_address,,16,35,0.471,"Dans la longue histoire de notre nation, il y eut des générations pour résister, d’autres pour reconstruire, d’autres encore pour étendre la prospérité conquise.

En ce qui nous concerne, il nous revient d’affronter ce nouveau chapitre d’une rude époque, et au-delà des urgences de cette année, que je viens pour partie de mentionner, d’avoir la charge de refonder nombre des piliers de notre nation, qu’il s’agisse de notre école, de notre santé, de nos transports, de l’aménagement de notre territoire, de nos industries, et j’en passe.",147,86,20;21,False
macron2022_c017,macron2022,macron,fr,2022-12-31,new_year_address,,17,35,0.5,"Il nous faut, pour cela, rester unis mais aussi maintenir une ambition collective intacte, une ambition pour continuer de transformer notre pays face aux corporatismes, et face à toutes les bonnes raisons de faire comme avant, ou à la tentation de l’esprit de défaite.

C’est ainsi que nous serons utiles à notre jeunesse et aux générations qui viennent. Depuis 5 ans, nous avons largement commencé ce travail de transformation, de simplification, de lutte contre les pesanteurs. Mais c’est parfois trop peu, encore souvent trop lent.",129,85,22;23,False
macron2022_c018,macron2022,macron,fr,2022-12-31,new_year_address,,18,35,0.529,"Et comme vous, je m’impatiente, mais sans jamais céder à la facilité ou à la fatalité. Aussi, je nous souhaite pour 2023 par notre travail et notre engagement d’œuvrer à refonder une France plus forte, plus juste, pour la transmettre à nos enfants.

C’est par notre travail et notre engagement que nous pourrons augmenter les moyens des forces de sécurité intérieure, de notre justice, de nos Armées, face aux nouveaux défis géopolitiques et à la multiplication des conflits.",121,78,24;25,False
macron2022_c019,macron2022,macron,fr,2022-12-31,new_year_address,,19,35,0.559,"C’est par notre travail et notre engagement que nous lutterons plus efficacement contre les trafics, contre l’immigration illégale dans notre Hexagone, comme dans nos outremers. Restons fidèles à nos valeurs, toujours. Intégrons mieux par la langue et le travail, protégeons les combattantes et les combattants de la liberté, comme celles et ceux qui viennent d’Iran ou d’ailleurs, mais gardons le contrôle de nos frontières, de l’unité de la nation.",117,69,26,False
macron2022_c020,macron2022,macron,fr,2022-12-31,new_year_address,,20,35,0.588,"C’est par notre travail et notre engagement que nous bâtirons aussi une nation productive et écologique. Parce que la transition écologique est une bataille que nous devrons gagner, il nous faut la mener avec résolution et méthode. La planification écologique sera l’instrument de ce dépassement historique pour baisser nos émissions de C02 et sauver notre biodiversité. Avec notre plan France 2030, nous continuerons d’investir, d’innover et de déployer une écologie à l’échelle industrielle. Et après la loi visant à accélérer le déploiement des énergies renouvelables, la loi sur le nucléaire marquera le lancement de la construction de nouvelles centrales sur notre territoire.",178,102,27,False
macron2022_c021,macron2022,macron,fr,2022-12-31,new_year_address,,21,35,0.618,"C’est par notre travail et notre engagement que nous restaurerons aussi une nation de confiance. En rendant chaque jour notre laïcité effective car elle est un principe de liberté. Et elle ne retire rien à la place de la religion dans le for intérieur de chacun, pour tous ceux qui croient, et je salue en cet instant, la mémoire de sa Sainteté Benoît XVI, dont la disparition, je le sais, affecte beaucoup de catholiques en France et dans le monde. Cette nation de la confiance sera aussi confortée par une lutte constante contre toutes les discriminations, dans une société de respect et de reconnaissance. Elle sera aussi renforcée par un combat de chaque jour que nous continuerons de mener pour être aux côtés de celles et ceux qui sont en situation de handicap.",178,133,28,False
macron2022_c022,macron2022,macron,fr,2022-12-31,new_year_address,,22,35,0.647,"C’est par notre travail, notre engagement que nous devons refonder nos grands services publics pour qu’ils assurent pleinement notre idéal d’égalité. Avec le Conseil National de la Refondation, nous avons entrepris de renouer le contrat entre les générations et œuvrer à mieux accompagner nos aînés en situation de dépendance.",82,49,29,False
macron2022_c023,macron2022,macron,fr,2022-12-31,new_year_address,,23,35,0.676,"Nous avons aussi commencé de raviver la confiance dans notre Education nationale, notre santé en nous appuyant sur l’énergie et le dévouement de nos enseignants et de nos soignants. Nous poursuivrons avec ardeur durant l’année qui s’ouvre, par des choix clairs, forts, et un travail au plus près du terrain.",83,50,30,False
macron2022_c024,macron2022,macron,fr,2022-12-31,new_year_address,,24,35,0.706,"C’est par notre travail et notre engagement que nous bâtirons une société plus juste. Société plus juste c’est d’abord une société où l’égalité entre les femmes et les hommes est effective, et là aussi, ce qui est la grande cause de mes deux quinquennats, continuera d’alimenter le travail du Gouvernement et de nourrir l’action chaque jour. Mais une société plus juste, elle l’est aussi sur le plan social. Pas par plus d’impôt, non. Ni en léguant plus de dette aux générations suivantes. Mais, en améliorant l’accompagnement de nos enfants, de nos adolescents, en réformant notre lycée professionnel, en améliorant l’orientation de nos adolescents, pour trouver les bonnes formations et les bons métiers.",180,112,31,False
macron2022_c025,macron2022,macron,fr,2022-12-31,new_year_address,,25,35,0.735,"En réindustrialisant plus vite et plus fort notre pays, pour offrir de nouveaux emplois et des carrières d’avenir. Car la principale injustice de notre pays demeure le déterminisme familial, la trop faible mobilité sociale. Et la réponse se trouve dans l’école, dans l’orientation, dans notre enseignement supérieur, dans notre politique d’innovation et dans notre industrialisation.",93,55,31,False
macron2022_c026,macron2022,macron,fr,2022-12-31,new_year_address,,26,35,0.765,"Et parce que la confiance dans la vitalité de notre vie démocratique s’est, elle aussi, émoussée, nous aurons nous le savons dans les mois qui viennent beaucoup à faire. Je poserai dans toutes prochaines semaines mois les premiers jalons d’un Service National Universel. Nous aurons à lancer les aménagements nécessaires à nos institutions et à notre vie publique et citoyenne. Et avec l’Assemblée nationale et le Sénat, avec également le Conseil économique, social et environnemental, nous aurons à bâtir un meilleur fonctionnement des pouvoirs et une association plus fréquente de nos concitoyens.",152,92,32,False
macron2022_c027,macron2022,macron,fr,2022-12-31,new_year_address,,27,35,0.794,"La France et l’Europe ont un rôle éminent à joueur dans ce moment de notre humanité alors que tant de régimes autoritaires viennent bousculer nos démocraties et leurs fondements. Protéger nos enfants, protéger notre information libre et indépendante, l’ordre libre et juste qui permet aux citoyens d’être heureux : voilà quelques-uns des combats de notre époque.",96,56,33,False
macron2022_c028,macron2022,macron,fr,2022-12-31,new_year_address,,28,35,0.824,"Nous sommes tenus de nous en saisir.

Oui, c’est bien par notre travail et notre engagement que nous pourrons nous donner les moyens de nos aspirations pour aujourd’hui et de nos ambitions pour demain.

En somme, en 2023, nous aurons à consolider pas à pas notre indépendance énergétique, économique, sociale, industrielle, financière, stratégique et à renforcer notre force d’âme, si je puis dire. C’est ce que nous devons à nos enfants.",114,71,34;35;36,False
macron2022_c029,macron2022,macron,fr,2022-12-31,new_year_address,,29,35,0.853,"Ce n’est pas, et ne sera jamais, une course aux illusions perdues d’avance. Car cette indépendance française doit trouver dans notre Europe son relai, son complément. Quand tant de pays se rêvent des empires, quand tant d’entreprises s’imaginent des royaumes, nous avons un continent, pour former un espace de paix et de liberté, de prospérité, de solidarité, de droit et de puissance. Depuis 2017, nous menons ce combat pour que notre Europe rassemble ses forces. Pour qu’à 27, nous soyons plus forts.",139,82,37,False
macron2022_c030,macron2022,macron,fr,2022-12-31,new_year_address,,30,35,0.882,"C’est pour cela que j’ai mené ce combat ces dernières années, que vous m’avez entendu alerter aussi les autres Européens afin de défendre nos industries et nos emplois, il y a quelques semaines après les décisions des autres continents, et c’est pour cela que je redoublerai d’efforts en ce début d’année.",81,51,38,False
macron2022_c031,macron2022,macron,fr,2022-12-31,new_year_address,,31,35,0.912,"Mes chers compatriotes,

Je veux ici et ce soir en votre nom dire à nos amis Ukrainiens : nous vous respectons et nous vous admirons. Votre combat pour la défense de votre nation est héroïque et il nous inspire Et durant l’année qui s’ouvre, nous serons sans faillir à vos côtés. Nous vous aiderons jusqu’à la victoire et nous serons ensemble pour bâtir une paix juste et durable. Comptez sur la France et comptez sur l’Europe.

Quant à nous, soyons cette génération de bâtisseurs.",129,84,39;40;41,False
macron2022_c032,macron2022,macron,fr,2022-12-31,new_year_address,,32,35,0.941,"Dans les prochains mois de 2023, les travaux de reconstruction de Notre-Dame-de-Paris, ce chantier exceptionnel, s’avanceront vers leur terme. Dans les prochains mois, tout notre pays se rassemblera fraternellement à l’orée des Jeux Olympiques et Paralympiques et à l’occasion de la coupe du monde de rugby en France. Dans les prochains mois, grâce au plan France 2030, les premières voitures électriques entièrement construites sur notre territoire sortiront d’usines. Et tant d’autres projets adviendront partout sur notre territoire pour permettre à la France tout à la fois de réduire le carbone et le chômage.",167,93,42,False
macron2022_c033,macron2022,macron,fr,2022-12-31,new_year_address,,33,35,0.971,"Dans les prochains mois, dans nos salles de classe, dans nos hôpitaux, comme chez nos médecins en ville, vous verrez les premiers changements tangibles de la rénovation de notre école et de notre santé.

Pour tout cela, je forme pour nous tous, des vœux d’unité, des vœux d’audace, des vœux d’ambition collective, et des vœux de bienveillance. Des crises, mes chers compatriotes, ensemble, nous en avons tant surmontées. Je nous sais capables de relever celles qui sont devant nous et d’être cette génération qui a la responsabilité de refonder la France et l’Europe pour les transmettre plus fortes, plus belles, plus justes à nos enfants.",173,105,42;43,False
macron2022_c034,macron2022,macron,fr,2022-12-31,new_year_address,,34,35,1.0,"Ensemble, nous allons réussir.

Et c’est fort de cette confiance que je vous présente tous mes vœux pour cette année nouvelle.

Vive la République.

Vive la France.",43,27,44;45;46;47,True
